cell type	cell_type_catelog	major_type_catelog
Adipocyte	Adipocyte	Adipocyte
adipocyte	Adipocyte	Adipocyte
fibroadipogenic progenitor cell	Fibroadipogenic progenitor cell	Adipocyte progenitor
Fetal Adrenal Cortical Cell	Fetal adrenal cortical cell	Adrenal cortical cell
Transitional Zone Cortical Cell	Transitional zone cortical cell	Adrenal cortical cell
zona fasciculata cell	Zona fasciculata cell	Adrenal cortical cell
Zona Fasciculata Cortical Cell	Zona fasciculata cortical cell	Adrenal cortical cell
zona glomerulosa cell	Zona glomerulosa cell	Adrenal cortical cell
Zona Glomerulosa Cortical Cell	Zona glomerulosa cortical cell	Adrenal cortical cell
zona reticularis cell	Zona reticularis cell	Adrenal cortical cell
amacrine cell	Amacrine cell	Amacrine cell
AS	Astrocyte	Astrocyte
ASCT_1	Astrocyte	Astrocyte
ASCT_2	Astrocyte	Astrocyte
ASCT_3	Astrocyte	Astrocyte
ASC	Astrocyte	Astrocyte
astrocyte	Astrocyte	Astrocyte
Astrocyte 2	Astrocyte	Astrocyte
astrocytes	Astrocyte	Astrocyte
Astrocyte 1	Astrocyte	Astrocyte
ASCNT_2	Astrocyte non-telencephalon	Astrocyte
ASCNT_1	Astrocyte non-telencephalon	Astrocyte
ASCNT_3	Astrocyte non-telencephalon	Astrocyte
Fetal Astrocyte 1	Fetal astrocyte	Astrocyte
Fetal Astrocyte 3	Fetal astrocyte	Astrocyte
Fetal Astrocyte 2	Fetal astrocyte	Astrocyte
Fetal Astrocyte 4	Fetal astrocyte	Astrocyte
Fetal Astrocyte 5	Fetal astrocyte	Astrocyte
Astrocyte-Fibrous	Fibrous astrocyte	Astrocyte
Astrocyte-Immature	Immature astrocyte	Astrocyte
Astrocyte-Protoplasmic	Protoplasmic astrocyte	Astrocyte
35-B cell	B cell	B cell
B	B cell	B cell
Bcell	B cell	B cell
17_B	B cell	B cell
B cell	B cell	B cell
28-B cell	B cell	B cell
B cells	B cell	B cell
B Proliferating	Cycling B cell	B cell
Fetal B Lymphocyte 2 (CXCR5+)	Fetal B lymphocyte CXCR5+	B cell
Fetal B Lymphocyte 3 (NPY+)	Fetal B lymphocyte NPY+	B cell
Fetal B Lymphocyte 1 (SPIB+)	Fetal B lymphocyte SPIB+	B cell
Memory B Cell	Memory B cell	B cell
